F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17
Halomicrobium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.130883e-05	0	4.405404e-05	5.858592e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.819708e-05	0
Halonotius_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78305e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42241e-05	0
Haloquadratum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.908878e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorhabdus_unclassified	0	0	0	0	0	6.354247e-05	0	0	0	0	0	0	0	0	0	0	0	4.936262e-05	2.141333e-05	0	0	0	5.654681e-05	0	4.745648e-05	0	0	0	0	0	4.8879e-05	4.584985e-05	0	0	9.32865e-06	0	4.247624e-05	0	0	0	0	0	0	0	0	0	8.542181e-05	0
Halorubrum_distributum	0	6.742745e-05	0	0	0	0	0	0	0	0	0	2.389794e-05	0	0	0	0	0.00013626126	5.482837e-05	4.673871e-05	0	0	1.90854e-05	0	0	0	0	0	0	5.488552e-05	0	6.104631e-05	8.270954e-05	0	0	4.411344e-05	1.157007e-05	7.409744e-05	6.109723e-05	0	4.91747e-05	0	0	0	0	0	0	8.202194e-05	8.92252e-05
Halorubrum_unclassified	0	0.000277693	0.00027392324	4.854682e-05	0.00024608437	0.0001646169	0.00031507322	0	0.00039265722	0.00018458248	0	8.22716e-06	0	0.00046278704	0	0	0.00033968183	0.00057134239	0.00023348765	0.00030766131	0	9.032498e-05	0.00032066179	0	0.00014605695	0.00029977921	0.00028529919	0	0.00031679801	0	0.00019404754	0.00036440145	0.00034744271	7.692794e-05	0.00026404819	0.00039723903	9.187453e-05	0.00026608842	0	0.00045854627	0	0.00019902732	0	5.672257e-05	0.00026752299	0.0003027548	0.00023437875	0.00036884575
Haloterrigena_unclassified	0	1.731743e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66409e-06	4.959576e-05	0	0	1.264902e-05	0	0	0	0	0	0	0	0	0	0	0	8.797172e-05	0
Halovivax_unclassified	0	7.2463e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.055491e-05	0	3.146717e-05	2.786952e-05	0	0	5.05961e-06	0	0	0	0	0	0	0	0	0	0	0	2.889892e-05	0
Natrialba_unclassified	0.00011078659	0.00032129362	0.00021225727	8.673492e-05	0.00043993386	0.00012760865	0.00036338561	0.00015518284	0	0.00027639135	0	0.00017629626	0.00024529356	9.912975e-05	0	0	0.00042210463	0.00025962345	0.00035846737	0.00024809633	0.0002578187	9.353738e-05	0.0001843518	0.00017385669	0.00014846184	0.00042195622	0.00035615372	0	0.00020808247	0	0.00020222901	0.00028573749	0.00014710276	0.00019115869	0.00016870624	0.00024700344	0.00023487787	0.00023423168	0	0.00053825941	0.00013918415	0.00028042418	0.00016481443	0.00022858772	0.00032885676	0.00024500304	0.00022417913	0.00030622522
Natrinema_pellirubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59471e-06	0	0	3.44623e-06	0	0	8.37997e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema_unclassified	0	0.00015561125	4.072281e-05	0	5.123994e-05	0.0001043912	0	5.258687e-05	0	0	0	0.00021508144	0	0	0	0	7.243216e-05	0	8.277075e-05	0.00019782131	8.10957e-05	9.939528e-05	6.505182e-05	0	0.00025764382	9.453994e-05	9.703308e-05	0	0.00026115857	0	0.00014160226	0.00026910568	1.190832e-05	3.439985e-05	0.00013866483	0.00017530407	7.897434e-05	8.941433e-05	0	0.00025057173	0	0	0	0	0	0	0.00033743741	0.00016252379
Natronococcus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14718e-05	0	1.405534e-05	6.008429e-05	0	0	1.027732e-05	0	0	0	0	0	0	0	0	0	0	0	1.529943e-05	0
Natronorubrum_tibetense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85431e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronorubrum_unclassified	0	0.00012404685	0.00011103199	0	0.00010115328	0.00015990358	0.00013138188	6.753804e-05	0	0.00011882095	0	0	0	5.501156e-05	0	0	0.00047844075	0.00012400436	0.00035476121	5.86542e-05	7.406428e-05	7.842023e-05	0	0.00016300449	0.00013932326	0.00024254177	0.00017447143	0.00015821614	0.00020054325	0	9.293304e-05	0.00018100204	5.88411e-05	7.576677e-05	0.00011921697	4.680619e-05	0.00010446008	3.447299e-05	0.00015773057	0.00052557421	0	0.00032009226	4.407645e-05	0	0.00017512613	0.00024691827	0.00015724413	0.00039852715
Methanobacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.242659e-05	0	0	0	0	0	5.66409e-06	3.23646e-05	0	0	1.897352e-05	0	0	0	0	0	0	0	0	0	0	0	2.719898e-05	0
Methanobrevibacter_smithii	6.722105e-05	5.391739e-05	0.00030350961	0.00011410049	0.0001754429	0.00024858374	0	0.00028536113	0	4.87182e-05	0	0	0	0	0	0.00016264373	0.00014458679	0	0.00017624817	0	0	0.0001534391	0.00033583289	0.00026554672	0.00025764382	0	0.00019704455	0	0	0	0.00018607586	0.00012721087	0.00018738089	8.824942e-05	0.00027938513	0	3.634078e-05	0	3.897939e-05	0	0.00033128336	0.00031442539	0	7.228238e-05	9.30308e-05	7.43996e-05	0.00035018693	2.606172e-05
Methanobrevibacter_unclassified	0.00066984491	0.00015155823	0.00051909119	0.00016635789	0	0.00053557226	0.0008256552	0.00041914832	0.00294070801	0.0009041004	0.0003389744	0.00037942873	0.00022969251	0.00068119928	0.00161340301	0.00015614726	2.275646e-05	0.00123218654	0.00241641183	0.00035702556	0.0004612611	0.00195332504	0.00192971737	0.00026731851	0.00069389076	0	0.00068283696	0.00304453393	0.00047768496	0.00097637071	0	0.00060488843	0.00063464333	0.00102270623	0	0.00020615759	0.00028286029	0.000107882	0.00038811043	0.00021643134	0.0030211738	0.00223566587	0.00086531513	0.00010566524	5.198314e-05	0.00064027853	0.00031130088	0.00056430865
Methanocaldococcus_unclassified	0	0.00014799649	0	0	0	0	0.00195613027	0	0	0	0.00230352008	0.00138039973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070149114	0	0.00031438546	0	0	0.00160909014	0	0	0	0	0	0	0	0	0	0	0	0	0.00084916363	0.00099194554	0	0
Methanocaldococcus_villosus	0.00027854352	0.00014320656	0.00035769588	0	7.130477e-05	0.00015257176	0	0.00086355897	0	0.00015612333	0	0	7.969691e-05	0	0.00046802173	0.00074848597	0.0005616961	0.00028012003	0.00031193455	0.00022022648	0.00011039328	0.00016061974	0.00052248333	0.00033110287	0.00057252401	0	0	0	0.00010841398	0	0.00020684419	0.00022535353	0.00032677827	7.663765e-05	0.00061980175	0.00014147039	0.00021127996	3.570417e-05	2.408693e-05	6.812419e-05	0.00061115635	5.701214e-05	0	0.00016748011	0.00013629726	2.401413e-05	0.00056947874	0.00015691328
Methanotorris_unclassified	0	8.265696e-05	3.723228e-05	0	0	2.688335e-05	0	0.00010826709	0	0.00015483704	0	6.738435e-05	0	0	0	0	0.00021896157	0	0.00020363252	0	0	0	0	0	0.000304459	0	0	0	0	0	3.524323e-05	7.356954e-05	0.00017109452	0	0.00021408458	0	0	0	0	0	0	2.884952e-05	4.706735e-05	8.727638e-05	0	0	0.00019315529	0
Methanococcus_maripaludis	0	9.628983e-05	0.00031963252	8.116904e-05	5.853624e-05	0.00030531809	0	0.00050189532	0	0.00023072809	0	8.031274e-05	0	0	0	0.00033480014	0.00045873698	0.00014808785	0.0002925802	0.00015301096	0	0.00054308369	4.942099e-05	0.00018935984	0.00040145621	0	9.452495e-05	0	1.658628e-05	0.00017705314	0.00023747224	0.00014609022	0.00039437549	2.598132e-05	0.00028665831	0.00015777367	3.555419e-05	0	0	0.00028377249	0.00017354132	0.00012072149	0	7.086785e-05	0	3.91887e-05	0.00034891198	0.00015564639
Methanococcus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.367437e-05	0	0	0	0	0	1.44753e-05	0	0	0	0	0	0	0	1.431607e-05	0	3.69074e-05	0	0	0	0	0	0	0	0	0
Methanothermococcus_unclassified	0.00077530902	0.00010218513	0.00078270906	0.00034601204	0.00089197294	0.00048040902	0.00022835423	0.00019616966	0.000226064	0.00150270716	0.00029195438	0.00076571343	9.924521e-05	0.00039960544	0.00129464558	0.00347421853	0.00094744589	0.00083643159	0.001177939	0.00039910357	0.00045751101	0.00230366504	0.00093693008	0.00139417565	0.00113158064	0.00016234894	0.00046776527	0.00039992865	0.00035208156	0.00110357394	0.00148357214	0.00018265024	0.00076353337	0.00034820781	0.00144135529	0.00066317531	0.00052466021	0.00040290312	0.00025925829	0.00092915131	0.00234130311	0.00119485084	0.00045792281	0.00061305643	0.00035548227	0.00054215945	0.00120907987	0.00064919023
Methanocella_unclassified	0	0.00012760859	0	0	0	0.00010159813	0	0	0	0	0	0	0	0	0	0	0.0001073994	0	7.90646e-05	0	0	2.380951e-05	5.26391e-05	2.546945e-05	4.296736e-05	0	0	0	4.327512e-05	0	5.99974e-05	5.948494e-05	0	0	0.00012775505	0.00012762137	0.00020325667	0	0	0.00011917818	0	0	0	0	2.092004e-05	6.187689e-05	0.00018550558	5.610509e-05
Methanoculleus_unclassified	0	3.917915e-05	7.313485e-05	0	5.671217e-05	6.162223e-05	0	0	0	0	0	5.171357e-05	0	0	0	0	0.00012183033	0	0.00012765639	0	0	2.173091e-05	7.033872e-05	0	5.274724e-05	0	1.332441e-05	0	0.0001256034	0	6.167565e-05	0.00010338693	0	3.73028e-05	5.423265e-05	0.00020598229	0	4.324514e-05	0	0	0	6.886105e-05	0	0	3.756099e-05	1.944702e-05	0.00013854483	0
Methanoplanus_unclassified	0	3.807379e-05	0.0002970272	0.00052288325	0.00020562306	0.00104792708	0	0.00020648082	0	0.00033765087	0.00087617047	0	0	0.00031155063	0	0	0	0.0001465506	0	0	0.00021539581	0.00014417984	0	0	0	0	0	0	0	0	0.00085758526	0	0	0.00017693427	0	0	0.00024463167	0	0	0	0	0	0	0	0.00013185967	0	0.00041095966	0
Methanosaeta_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298932467	0	0	0.00044791379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053794619	0	0	0	0	0	0	0	0
Methanolobus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.814845e-05	0	5.391375e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.698649e-05	0
Methanosarcina_mazei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.244658e-05	3.44623e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.379911e-05	0
Methanosarcina_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78305e-05	0	0	3.889572e-05	0	0	0	0	0	0	0	0	0	0	0	9.56214e-06	0
Pyrococcus_furiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.678687e-05	0
Pyrococcus_unclassified	0	0	0	0	0	0	0	0.00023870317	0	0	0	0	0	0	0.00031599896	0	0	0	0	0	0	0	0.0005905234	0	0.00022028787	0	0	0	0	0	0.00031697929	0	0	0.00012105265	0.00018182959	0.0001248165	0.00043687598	0	0	0	0	0	0	0	0	0	0	0
Thermococcus_unclassified	0.00085632911	0.00034119025	0.00079550766	0.00038358171	0.00110174163	0.00094947117	0.00019915825	0.00123063598	0.00065943149	0.00123612376	0.00023663671	0.00066013156	0.000163717	0.00148803553	0.00059184674	0.00074987808	0.0010409694	0.00097444195	0.00085529778	0.0009524932	0.0003136013	0.00082596341	0.00106588439	0.00049122821	0.00068956196	0.00041138466	0.00026664501	0.00034347371	0.00067506174	0.0002902898	0.00109589662	0.00039062278	0.00029770796	0.00052819017	0.00088147825	0.00173603624	0.00089970967	0.00034565332	0	0.00136843488	0.00049479338	0.00077825007	0.00105279745	0.00013310708	0.00041380482	0.00045715239	0.00078324577	0.00085116857
Candidatus_Nitrosoarchaeum_limnia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.356368e-05	2.427345e-05	1.908833e-05	0	0.00013819049	0	0	0	0	0	0	0	0	0	0	0	0.00020399239	0
Candidatus_Nitrosoarchaeum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80293e-05	0	0	0	0	2.853362e-05	0	0	0	0	0	0	0	0	1.909008e-05	4.94459e-06	0	0	3.162254e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus_unclassified	0	4.470599e-05	8.643209e-05	0	6.649584e-05	2.478855e-05	0	0.00016394732	0	0	0	0	0	0	0	0.00027981218	0.00020286554	0	0	0	0	0	5.516762e-05	2.701977e-05	0.00013804065	0	3.103804e-05	0	1.899883e-05	0	0.00013174255	9.889184e-05	2.942055e-05	0	0.00010925587	1.525145e-05	0	0	0	0	0	8.002307e-05	0	0	0	0	0.00024096601	0
Thaumarchaeota_noname_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.327407e-05	0	8.380024e-05	7.759841e-05	0	0	7.332696e-05	7.131447e-05	4.248638e-05	0	0	0	0	0	2.66422e-05	4.94459e-06	1.96137e-05	0	8.901745e-05	0	0	0	0	0	0	0	0	0	0	0	3.676113e-05	0
Granulicella_unclassified	0.01241894049	0.00508383295	0.01865088151	0.00469280763	0.01059008512	0.01738113543	0.00958427366	0.01439411027	0.02087837025	0.02354037549	0.01058119513	0.01564198382	0.00562972214	0.01000102942	0.00375888575	0.01194074107	0.00545877584	0.02117997832	0.01021868774	0.00994425483	0.00816043074	0.03391665385	0.01415945925	0.01330590606	0.01293590024	0.00027969324	0.00408165953	0	0.01022981653	0.00744933895	0.02216673278	0.00679207151	0.00040733454	0.01017248697	0.01080241716	0.0262286449	0.01233950471	0.0004609224	0.00216924852	0.01171297572	0.01496041528	0.01301542539	0.03481472701	0.01184865229	0.00392345926	0.01213361697	0.01444011102	0.02334189087
Terriglobus_unclassified	0.00531893922	0.00591506967	0.00306019463	0.0082181725	0.00640797738	0.00291003573	0.00808346156	0.00337406668	0.00737906655	0.00842615785	0.01312534708	0.00702129247	0.00774958479	0.003707743	0.00432161522	0.00228791699	0.00477136416	0.00440061743	0.00570603452	0.00784509025	0.00571209057	0.00540910604	0.00636680307	0.00359783691	0.00260449525	0.00493570982	0.0009519901	0.01036801975	0.00922981442	0.00241750591	0.00200592716	0.0064601845	0.00293294881	0.00274545675	0.00227698086	0.00682371107	0.00386895608	0.00206468611	0.00343290604	0.00643295945	0.0007771742	0.00384763265	0.00498473145	0.00205092414	0.00401205248	0.00581318688	0.00816203285	0.00272308788
Actinobaculum_unclassified	0	0.00757115653	0.00347822676	0.00158704808	0.00510790899	0.0018985932	0.00161776978	0.00131389853	0.00447025139	0.00337683027	0.00536750449	0	0.00283882653	0	0	0	0	0.00391228622	0	0.00772213502	0.00427885296	0.00203457973	0.00430560287	0.0041586078	0.00178939806	0.00316572882	0.00243147019	0	0.00754163233	0	0.00155238036	0.00807302054	0.00060504766	0.01015637564	0.00607706128	0.0041313911	0	0.0019175603	0	0	0.00191271624	0.00200864764	0.00713393054	0	0.00669615759	0.00352123726	0.00300357539	0.00463482371
Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14672e-06	2.84689e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88732e-06	0
Actinomyces_johnsonii	0	7.2463e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.734711e-05	0
Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11866e-05	2.427345e-05	0	0	4.458778e-05	0	0	0	0	0	0	0	0	0	0	0	4.143595e-05	0
Actinomyces_odontolyticus	0	3.168722e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.391269e-05	0	0	0	0	0	0	0	0	0	0	9.49942e-06	0	4.090732e-05	3.23646e-05	0	0	4.189986e-05	0	0	0	0	0	0	0	0	0	0	0	3.272378e-05	0
Mobiluncus_curtisii	0	9.70267e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.643242e-05	2.981739e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.399873e-05	0
Mobiluncus_mulieris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.909008e-05	2.082722e-05	3.60752e-05	0	5.454888e-05	0	0	0	0	0	0	0	0	0	0	0	3.144883e-05	0
Mobiluncus_unclassified	0.00030081911	0.00021014273	0.00014178187	0	0.00025371233	9.409174e-05	0.00201851928	0.00013069385	0.00016058986	0.00022510058	0	0.00024211353	0.00055844227	0.0004172164	0	0.0005505757	0.00036188326	9.360108e-05	0.0001735715	0.00011075079	0	0.0007739982	0.00042984771	0.00020397709	0.00081317328	0.00060710952	0.00030693177	0	0.00010675535	0	5.454309e-05	9.43968e-06	7.670358e-05	0.0001162628	0.00065711634	0.00011815495	0	0	0	0.00075923235	0	0.00010629673	0	0.00032378546	0	0.00035151969	0.00039629771	0.00044865977
Tropheryma_whipplei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.088461e-05	0	0	0	0	0	0	0	0	0	0	0	2.93694e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.314876e-05	0
Actinopolyspora_unclassified	0	5.084693e-05	3.906066e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.891155e-05	0	0	5.114398e-05	0	5.23571e-05	0	7.3432e-05	0	0.00010510035	0.00010263775	0	0	6.577488e-05	0.00016496113	0	0	0	0	0	0	0	0	0	0	6.608503e-05	0
Brevibacterium_unclassified	0.00277163611	0.00366245255	0.0061368446	0.00160591022	0.00354517373	0.00389791169	0.00461209499	0.00357513414	0.00148845789	0.00520818427	0.00181042449	0.00542502776	0.00131349532	0.01100049692	0.00321577212	0.00510761632	0.00082422797	0.0034512838	0.00074926062	0.00204178547	0.00246404367	0.00538435171	0.00392862413	0.00189714195	0.00380982583	0.01004977694	0.00275674262	0.00278858908	0.00099698642	0	0.00316056249	0.00314565959	0.00627235655	0.00156642714	0.00195696078	0.00323120469	0.00215920881	0.00236601701	0.00079538681	0.00693723507	0	0.00668072394	0.00616220227	0.00380126108	0.00154919269	0.00399238561	0.00324284146	0.00315292529
Cellulomonas_unclassified	0.00392602452	0.00061225104	0.00062962453	0.000481603	0.0011617703	0.00048407493	0.00140523004	0.0012133648	0.00076786717	0.00040228689	0	0.00085640807	0.00084696765	0.00218085441	0.00062617446	0.0002510421	0.00139535968	0.00105249979	0.00048282939	0.00193376702	0.00121737304	0.00095786056	0.00047352207	0.00187322281	0.00132124625	0.00064803656	0.00043594343	0.00105627656	0.00088842166	0.00200044263	0.00094254661	0.00066991731	0.00065215556	0.00062253577	0.00051149456	0.00090299128	0.00035648577	0.00038766729	0.00019282497	0.00053418762	0.00152575922	0.00061511292	0.00161697598	0.00037937641	0.00089306402	0.00070966905	0.00090457874	0.000800493
